model,threshold,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.5,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8412978893797307
Random Forest,0.5,0.7778566359119943,0.5673289183222958,0.6871657754010695,0.6215235792019347,0.8379717895063163
Neural Network,0.5,0.7437899219304471,0.5113043478260869,0.786096256684492,0.6195995785036881,0.838562091503268
