auc,loss,val_auc,val_loss
0.769614577293396,0.577199399471283,0.8132272958755493,0.5418022871017456
0.8266647458076477,0.5110612511634827,0.821817934513092,0.5380482077598572
0.8366646766662598,0.49800539016723633,0.8241932392120361,0.5179662704467773
0.844014585018158,0.4878053069114685,0.8253381848335266,0.5176617503166199
0.8432715535163879,0.4908284544944763,0.8255642652511597,0.5166950225830078
0.8445524573326111,0.48768582940101624,0.8263099193572998,0.5109261274337769
0.8463386297225952,0.4855273962020874,0.8272082805633545,0.5178528428077698
0.8474870920181274,0.484178751707077,0.8269942998886108,0.5127109885215759
0.8514548540115356,0.47792088985443115,0.8268762230873108,0.5132542848587036
0.851311981678009,0.477492094039917,0.8270636200904846,0.513135552406311
0.8503892421722412,0.47861528396606445,0.825574517250061,0.5169268846511841
0.8543983697891235,0.47375115752220154,0.8264892101287842,0.5166285634040833
